article_id,especie_id
2-s2.0-0015896355,206
2-s2.0-0041694377,1556
2-s2.0-0001179009,821
2-s2.0-0040832144,206
2-s2.0-0006963436,834
2-s2.0-0001632412,1597
2-s2.0-0014448184,206
2-s2.0-35148890186,1707
2-s2.0-84970580712,1994
2-s2.0-84970580712,1707
2-s2.0-0023738066,1597
2-s2.0-0343521526,820
2-s2.0-0042193634,1556
2-s2.0-77954383565,1324
2-s2.0-0001664683,820
2-s2.0-34548690849,80
2-s2.0-40049100559,1994
2-s2.0-40049100559,1707
2-s2.0-0344304788,1707
2-s2.0-0008675771,821
2-s2.0-0001276653,541
2-s2.0-77951515722,334
2-s2.0-77049257169,907
2-s2.0-70449152920,908
2-s2.0-0007404778,1556
2-s2.0-14544268176,80
2-s2.0-80052520395,1943
2-s2.0-85171882975,1955
2-s2.0-85114063415,1955
2-s2.0-85096052320,1955
2-s2.0-85096052320,1956
2-s2.0-85102586306,1967
2-s2.0-85064930583,1951
2-s2.0-85081885801,1954
2-s2.0-85051411485,1956
2-s2.0-85051411485,1955
2-s2.0-85053710020,1955
2-s2.0-85053710020,1969
2-s2.0-85046838355,1972
2-s2.0-85029578115,1970
2-s2.0-85037036444,1945
2-s2.0-85037029979,1955
2-s2.0-84984817838,1956
2-s2.0-84984817838,1955
2-s2.0-84963593321,1967
2-s2.0-84885234946,1951
2-s2.0-84860112149,1945
2-s2.0-84860112149,1946
2-s2.0-0034813950,1959
2-s2.0-79960263974,1936
2-s2.0-85176763287,1914
2-s2.0-85158168245,1934
2-s2.0-85132367328,1914
2-s2.0-85072110008,1926
2-s2.0-85032269993,1925
2-s2.0-84989179722,1919
2-s2.0-84975061746,1918
2-s2.0-84893289714,1935
2-s2.0-84875100252,1914
2-s2.0-84875168835,1928
2-s2.0-79957503268,1930
2-s2.0-79957464876,1917
2-s2.0-33746644189,1923
2-s2.0-0035660836,1913
2-s2.0-0040362328,1930
