article_id,authors_id
2-s2.0-85146764078,57190018309
2-s2.0-85146764078,15727232100
2-s2.0-85146764078,6508220629
2-s2.0-85146764078,56281951300
2-s2.0-85174258737,58651254400
2-s2.0-85174258737,57207813400
2-s2.0-85174258737,55992664900
2-s2.0-85174258737,56223664600
2-s2.0-85144640872,57194798403
2-s2.0-85144640872,57204648814
2-s2.0-85144640872,57219975378
2-s2.0-85144640872,57147470000
2-s2.0-85144640872,21739562900
2-s2.0-85144640872,8662392800
2-s2.0-85144640872,54796972400
2-s2.0-85144640872,56469146600
2-s2.0-85144640872,23488300800
2-s2.0-85144640872,7101819169
2-s2.0-85144640872,55911154400
2-s2.0-85144640872,54796520600
