especie_id,nome_cientifico
661,Machaerium trifoliolatum
662,Macrolobium aracaense
663,Macrolobium brevense
664,Macrolobium cidii
665,Macrolobium conjunctum
666,Macrolobium cowanii
667,Macrolobium duckeanum
668,Macrolobium froesii
669,Macrolobium furcatum
670,Macrolobium longipedicellatum
671,Macrolobium palustre
672,Macrolobium parvifolium
673,Macrolobium prancei
674,Macrolobium urupaense
675,Macropsychanthus duckei
676,Macropsychanthus flexuosus
677,Macrosamanea duckei
678,Macrosamanea macrocalyx
679,Macrosamanea prancei
680,Mimosa calliandroides
681,Mimosa dasilvae
682,Monopteryx angustifolia
683,Mora paraensis
684,Muellera denudata
685,Muellera tozziana
686,Nissolia rondonensis
687,Ormosia froesii
688,Ormosia paraensis
689,Ormosia santaremnensis
690,Paloue induta
691,Panurea bowdichioides
692,Paramachaerium krukovii
693,Parkia lutea
694,Parkia paraensis
695,Peltogyne altissima
696,Peltogyne campestris
697,Peltogyne catingae
698,Peltogyne excelsa
699,Peltogyne gracilipes
700,Peltogyne lecointei
701,Peltogyne micrantha
702,Peltogyne paradoxa
703,Petaladenium urceoliferum
704,Platymiscium filipes
705,Recordoxylon stenopetalum
706,Schnella alata
707,Schnella altiscandens
708,Schnella erythrantha
709,Schnella longiseta
710,Schnella platycalyx
711,Schnella sprucei
712,Schnella stenopetala
713,Senna cornigera
714,Staminodianthus rosae
715,Stryphnodendron conicum
716,Stryphnodendron procerum
717,Stryphnodendron riparium
718,Swartzia amazonica
719,Swartzia arumateuana
720,Swartzia conferta
721,Swartzia coriaceifolia
722,Swartzia corrugata
723,Swartzia discocarpa
724,Swartzia duckei
725,Swartzia emarginata
726,Swartzia fimbriata
727,Swartzia fraterna
728,Swartzia ingens
729,Swartzia ingifolia
730,Swartzia krukovii
731,Swartzia lamellata
732,Swartzia lanata
733,Swartzia laurifolia
734,Swartzia longistipitata
735,Swartzia lucida
736,Swartzia macrocarpa
737,Swartzia manausensis
738,Swartzia martii
739,Swartzia obscura
740,Swartzia oriximinaensis
741,Swartzia pernitida
742,Swartzia prolata
743,Swartzia recurva
744,Swartzia rugosa
745,Swartzia tomentifera
746,Swartzia ulei
747,Swartzia velutina
748,Tachigali argyrophylla
749,Tachigali candelabrum
750,Tachigali catingae
751,Tachigali fusca
752,Tachigali goeldiana
753,Tachigali grandistipulata
754,Tachigali hypoleuca
755,Tachigali leiocalyx
756,Tachigali macropetala
757,Tachigali macrostachya
758,Tachigali melanocarpa
759,Tachigali multijuga
760,Tachigali prancei
761,Tachigali schultesiana
762,Trischidium racemulosum
763,Vataireopsis iglesiasii
764,Vouacapoua pallidior
765,Zygia transamazonica
766,Zygia trunciflora
767,Aripuana cullmaniorum
768,Irlbachia nemorosa
769,Macrocarpaea piresii
770,Roraimaea aurantiaca
771,Tachia grandiflora
772,Tachia lancisepala
773,Tachia siwertii
774,Tachia smithii
775,Voyria alvesiana
776,Yanomamua araca
777,Chrysothemis kuhlmannii
778,Chrysothemis rupestris
779,Lesia tepuiensis
780,Nautilocalyx decumbens
781,Nautilocalyx mulfordii
782,Sinningia minima
783,Heliconia adeliana
784,Duckesia verrucosa
785,Endopleura uchi
786,Humiriastrum purusensis
787,Hylocarpa heterocarpa
788,Sacoglottis ceratocarpa
789,Schistostemon macrophyllum
790,Vantanea aracaensis
791,Vantanea deniseae
792,Vantanea macrocarpa
793,Vantanea micrantha
794,Vantanea tuberculata
795,Vismia cauliflora
796,Vismia cavalcantei
797,Casimirella ampla
798,Casimirella rupestris
799,Aegiphila duckei
800,Aegiphila exiguiflora
801,Aegiphila froesii
802,Aegiphila goeldiana
803,Gymneia moniliformis
804,Hyptidendron dorothyanum
805,Hyptis hispida
806,Hyptis tumidicalyx
807,Scutellaria alborosea
808,Scutellaria leucantha
809,Vitex brevilabiata
810,Vitex duckei
811,Vitex excelsa
812,Vitex froesii
813,Vitex krukovii
814,Vitex maranhana
815,Vitex odorata
816,Vitex pseudolea
817,Vitex snethlagiana
818,Vitex spongiocarpa
819,Vitex sprucei
820,Aniba burchellii
821,Aniba parviflora
822,Aniba rosiodora
823,Aniba santalodora
824,Dicypellium caryophyllaceum
825,Dicypellium manausense
826,Endlicheria bullata
827,Endlicheria coriacea
828,Endlicheria directonervia
829,Endlicheria goeldiana
830,Endlicheria krukovii
831,Endlicheria longicaudata
832,Endlicheria robusta
833,Licaria hirsuta
834,Licaria puchury-major
835,Licaria rodriguesii
836,Mezilaurus caatingae
837,Mezilaurus decurrens
838,Mezilaurus duckei
839,Mezilaurus manausensis
840,Mezilaurus micrantha
841,Nectandra grisea
842,Nectandra impressa
843,Ocotea albescens
844,Ocotea bilocellata
845,Ocotea delicata
846,Ocotea douradensis
847,Ocotea duplocolorata
848,Ocotea fragrantissima
849,Ocotea ligulata
850,Ocotea minor
851,Ocotea nigrescens
852,Ocotea obliqua
853,Ocotea silvae
854,Paraia bracteata
855,Persea benthamiana
856,Persea jariensis
857,Pleurothyrium prancei
858,Pleurothyrium undulatum
859,Rhodostemonodaphne curicuriarensis
860,Rhodostemonodaphne negrensis
861,Rhodostemonodaphne parvifolia
862,Rhodostemonodaphne peneia
863,Rhodostemonodaphne recurva
864,Allantoma integrifolia
865,Allantoma kuhlmannii
866,Allantoma pachyantha
867,Allantoma pauciramosa
868,Allantoma uaupensis
869,Cariniana penduliflora
870,Corythophora alta
871,Couratari longipedicellata
872,Couratari prancei
873,Couratari tauari
874,Eschweilera amazonica
875,Eschweilera amazoniciformis
876,Eschweilera atropetiolata
877,Eschweilera carinata
878,Eschweilera cyathiformis
879,Eschweilera grandiflora
880,Eschweilera obversa
881,Eschweilera pseudodecolorans
882,Eschweilera rabeliana
883,Eschweilera rankiniae
884,Eschweilera rhododendrifolia
885,Eschweilera romeu-cardosoi
886,Eschweilera subcordata
887,Eschweilera truncata
888,Gustavia elliptica
889,Gustavia erythrocarpa
890,Gustavia longepetiolata
891,Gustavia longifolia
892,Lecythis barnebyi
893,Lecythis gracieana
894,Lecythis idatimon
895,Lecythis parvifructa
896,Lecythis prancei
897,Lecythis retusa
898,Lecythis serrata
899,Genlisea multiflora
900,Utricularia ariramba
901,Utricularia jaramacaru
902,Utricularia physoceras
903,Bonyunia magnifica
904,Bonyunia venusta
905,Spigelia megapotamica
906,Spigelia spruceana
907,Strychnos froesii
908,Strychnos macrophylla
909,Strychnos malacosperma
910,Strychnos neglecta
911,Strychnos pachycarpa
912,Passovia bracteata
913,Passovia brasiliana
914,Psittacanthus atrolineatus
915,Psittacanthus dentatus
916,Psittacanthus ovatus
917,Struthanthus gracilis
918,Struthanthus prancei
919,Cuphea alatosperma
920,Cuphea carajasensis
921,Cuphea egleri
